ID,Sex,Condition,Movie,Tweety,RolePlay,Map1,Map2
1,F,friend,1,0,0,4,0
2,M,friend,0,0,0,0,1
3,F,friend,0,0,0,7,0
4,F,friend,0,0,0,0,0
5,M,friend,0,0,0,0,0
6,F,friend,0,0,0,0,0
7,F,friend,0,0,0,0,0
8,M,friend,8,17,0,27,23
9,M,friend,0,0,0,0,0
10,M,friend,0,0,0,0,0
11,M,friend,0,0,0,0,0
12,F,friend,0,0,0,0,0
13,F,friend,0,0,0,0,0
14,M,friend,0,0,0,0,0
1,F,professor,20,12,15,22,7
2,M,professor,27,12,14,33,4
3,F,professor,20,14,12,21,14
4,F,professor,24,3,12,10,7
5,M,professor,14,4,15,16,20
6,F,professor,15,5,15,15,4
7,F,professor,19,14,23,20,5
8,M,professor,32,10,17,22,14
9,M,professor,7,6,11,10,4
10,M,professor,28,22,20,34,26
11,M,professor,17,6,16,19,15
12,F,professor,20,10,15,16,12
13,F,professor,19,5,19,26,13
14,M,professor,19,5,12,26,11